Date	RELIANCE IS Equity	TCS IS Equity	BHARTI IS Equity	INFO IS Equity	HUVR IS Equity	ITC IS Equity	LT IS Equity	HDFCB IS Equity	ICICIBC IS Equity	KMB IS Equity	BAF IS Equity	SUNP IS Equity	TTAN IS Equity	SBIN IS Equity	MSIL IS Equity	MM IS Equity	AXSB IS Equity	HCLT IS Equity	UTCEM IS Equity	WPRO IS Equity	TATA IS Equity	APNT IS Equity	INDIGO IS Equity	COAL IS Equity	JSTL IS Equity	SBILIFE IS Equity	BJAUT IS Equity	DRRD IS Equity	ADSEZ IS Equity	GRASIM IS Equity	TMPV IS Equity	NIFTY Index
44249	914.7156553	2958.45	559.7899413	1265.2	2133.969686	195.8719917	1452.2	774	609.85	389.92	537.685	595.3	1405.25	389.5	7086.45	837.1	719.45	920.15	6175.1	209.35	68.455	2387.05	1512.25	136.25	406.1	849.05	3971.55	893.85	673.8	1225.62722	184.3360785	14675.7
44250	921.7077799	2980.2	555.1274791	1266.35	2145.438936	197.2437105	1486.3	764.575	616.3	374.59	538.37	604.05	1424.05	395.6	6970.5	840.95	715.95	909.95	6268.45	207.75	72.93	2372.2	1530.45	136.9	412.6	869.7	3912.25	899.03	662	1226.62326	196.140852	14707.8
44251	938.812293	2948.1	562.3911045	1274.3	2145.045142	197.5748151	1526.6	803.225	641.1	382.24	556.29	601.45	1451.85	406.25	6952.95	849.6	749.4	916	6414.55	211.55	72.77	2361.35	1621	144.4	408.1	871.55	3931.85	887.11	665.2	1245.249208	194.7182255	14982
44252	976.7793016	2995.3	568.4768447	1274.55	2129.736401	197.858619	1506.45	803.2	628	379.1	552.995	609.55	1434.45	407.25	6930.35	859	770.65	929.25	6383.3	210.65	74.29	2373.75	1660.2	156.1	421.75	872.4	3944.8	896.03	704.3	1265.419018	201.680015	15097.35
44253	950.1090154	2894.3	546.0479473	1253.3	2098.971244	192.8447501	1442.5	767.2	597.75	356.07	526.49	594.6	1406.9	390.15	6866.15	806.4	724.8	909.45	6115	205.15	71.515	2277.2	1619.95	152.2	395.45	866.9	3798.7	885.31	675.9	1196.044832	195.5052104	14529.15
44254	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44255	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44256	957.3516721	2924.2	522.3920862	1267	2110.145149	195.7300897	1472.85	779.45	608.35	369.08	526.68	604.45	1452.15	394.95	7015	819.45	728.55	930.35	6365.05	207.2	73.04	2362.3	1674.7	154.35	405.1	876.4	3814.05	890.68	692.9	1260.936838	198.7439559	14761.55
44257	959.310378	3006.35	531.2262252	1304.5	2144.159106	198.5681287	1485.65	784.1	610.5	368.93	531.63	614.2	1471.15	394.2	7214.1	860.05	731.25	953.75	6423.1	215.2	73.55	2390.4	1691.4	153.4	413.3	879.15	3944.05	880.94	720.5	1289.62279	209.3077148	14919.1
44258	1003.085177	3059.1	536.2322373	1343.55	2159.467848	198.6154294	1496.9	793.425	632.1	379.9	554.29	624.35	1474.6	405.05	7124.7	852.05	753.95	965.25	6500.5	217.75	77.715	2402.1	1782.6	154.9	428.15	906.45	3901.1	900.51	729.85	1312.880324	210.9724905	15245.6
44259	991.1279611	3049.7	529.6557116	1330.35	2162.815097	198.3789261	1462.6	776.025	620.75	379.54	548.59	618.95	1470.5	395.65	7131.6	845.25	736.8	958	6775.55	219.4	75.795	2417.1	1798.9	152.05	414.1	915.9	3879.05	915.01	752.45	1345.052416	205.3425216	15080.75
44260	992.4261731	3008.05	522.9810288	1316.7	2166.949934	197.2910112	1463.55	765	609.45	384.5	544.49	611.2	1474.2	383.65	7249	840.4	730.75	941.5	6810.3	210.425	73.33	2387.1	1742	151.1	406.4	903.55	3852.85	898.5	748.95	1334.046174	196.837031	14938.1
44261	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44262	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44263	998.0745343	3006.95	516.0118747	1335.75	2140.811857	196.770704	1515.2	759.75	608.05	383.17	532.065	614.8	1456.75	389.6	7259.5	851	743.3	961.9	6668.15	208.45	73.725	2382.7	1707.9	153.15	407.85	923.85	3798.75	898.45	748.4	1338.92677	194.4760763	14956.2
44264	998.0517587	3050.95	512.1346693	1345.55	2164.390273	196.5815014	1508.3	781.25	625.1	395.79	541.505	612.6	1456.9	387.6	7301.55	852	745.45	973.15	6697.4	209.6	70.675	2422.7	1688.7	151.7	401.6	971.3	3798.75	889.66	750.75	1360.939254	190.8135696	15098.4
44265	993.9065904	3070.95	516.1591104	1368.15	2193.284907	195.3516845	1524.2	777.875	625.6	392.79	554.505	626	1471.25	387.7	7272.1	863.8	760.75	988.5	6764.05	213.35	72.45	2431.95	1684.55	150.95	414	940.75	3867.55	900.08	745.35	1379.565202	194.5971509	15174.8
44266	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44267	973.7045888	3057.95	514.5395182	1374.85	2170.543304	194.1218676	1514	775.975	612.85	387.03	555.785	613.6	1482.5	381.1	7096.2	855.8	750.6	979.25	6638.15	212.6	71.995	2401.35	1663.95	150.5	418.75	914.2	3746.4	885.3	728.15	1374.03718	192.2361962	15030.95
44268	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44269	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
44270	960.6313657	3066.15	513.2143974	1373.6	2176.548662	194.3583709	1483.75	764.325	603.5	383.73	543.905	605.5	1492.2	383.9	7089.3	844.4	744.4	992.35	6561.45	213.175	73.64	2355	1661.95	146.9	429.65	920	3664.65	868.45	719.05	1378.618964	192.8415692	14929.5
44271	956.8506078	3110.05	519.5455303	1384	2209.233564	196.6288021	1461.8	756.075	594.95	380.64	545.595	602.3	1500.95	378.55	7150.3	842.85	737.75	1007.25	6639.95	214.65	72.405	2468.6	1682.1	145.7	425.95	914.05	3654.45	889.94	717.35	1379.01738	193.6890914	14910.45
